t,S,I,R
42.211055276381906,237.03012636071645,283.4473599689369,479.522513670346
43.21608040201005,217.900208243628,274.52726380183736,507.57252795453405
44.22110552763819,200.89048496687496,264.44456087640685,534.6649541567174
45.226130653266324,185.79785119540855,253.50364908737504,560.6984997172157
46.23115577889447,172.423252560531,241.9759050001664,585.6008424393018
47.23618090452261,160.57791971965875,230.09693353680453,609.3251467435359
48.24120603015075,150.08704130699783,218.06651147109974,631.8464472219015
49.24623115577889,140.79154183180142,206.0503342622834,653.1581239059143
50.25125628140703,132.54853810189067,194.1828493062689,673.2686125918394
51.256281407035175,125.23092680405843,182.57064134421432,692.1984318517264
52.26130653266331,118.72644491331182,171.2959935702036,709.9775615164838
53.26633165829145,112.93644541473262,160.42037876667393,726.6431758185926
54.27135678391959,107.77455656098961,149.98772330898527,742.2377201300242
55.27638190954774,103.1653332472624,140.0273687577111,756.8072979950257
56.281407035175874,99.04296604534026,130.55669357650558,770.4003403781533
57.28643216080401,95.35008471883117,121.58339473967622,783.0665205414916
58.291457286432156,92.03667510208804,113.10744294883966,794.8558819490713
59.2964824120603,89.05911358029478,105.12273909459125,805.818147325113
60.30150753768844,86.37931594781662,97.61850335402953,816.0021806981529
61.306532663316574,83.96399378052324,90.58042956143836,825.4555766580374
62.31155778894472,81.78400821077922,83.99163636395822,834.2243554252615
63.31658291457286,79.8138109827022,77.83344462875952,842.3527443885373
64.321608040201,78.03096243644514,72.08600734039642,849.8830302231574
65.32663316582914,76.41571657621259,66.72881552599898,856.8554678977874
66.33165829145727,74.95066434697148,61.74110057000277,863.3082350830248
67.33668341708542,73.6204268129303,57.10215038142684,869.2774228056418
68.34170854271356,72.41139181710842,52.791554466407824,874.7970537164827
69.3467336683417,71.31148726570918,48.789390310270775,879.899122424019
70.35175879396985,70.30998606029269,45.0763621985069,884.6136517411994
71.35678391959799,69.39733801430275,41.63390099162493,888.9687609940713
72.36180904522612,68.56502491214698,38.444232279751716,892.9907428081003
73.36683417085426,67.80543514931622,35.49041960979298,896.7041452408898
74.3718592964824,67.11175530562731,32.75638737759998,900.1318573167717
75.37688442211055,66.47787615595983,30.226927780495238,903.2951960635439
76.38190954773869,65.89831092974525,27.887695567460362,906.2139935027934
77.38693467336682,65.36812423043152,25.72519310518251,908.906682664385
78.39195979899498,64.88287005010241,23.7267482054256,911.390381744471
